Trial# ,Trial Time(Seconds) ,X ,Y ,Z ,Time between last 6 frames
0.323,355.591,351.0705,0.551252,0
0.369,355.5914,351.0739,0.5471152,0.04599997
0.378,355.6029,351.0419,0.5427572,0.05499998
0.382,355.5949,351.0393,0.5460038,0.05899999
0.393,355.5998,351.0406,0.5430713,0.06999999
0.404,355.5935,351.0385,0.5365671,0.081
0.415,355.5959,351.0396,0.5544225,0.046
0.426,355.601,351.0349,0.5486059,0.04800001
0.437,355.59,351.0387,0.5484111,0.05500001
0.448,355.5996,351.0405,0.5480332,0.05500001
0.459,355.601,351.0304,0.5482237,0.05499998
0.47,355.5811,351.0485,0.5485274,0.05500001
0.481,355.5876,351.0422,0.5401304,0.05500001
0.492,355.5939,351.0349,0.5410991,0.05500001
0.504,355.5969,351.0468,0.5467811,0.05599999
0.515,355.5875,351.0447,0.532033,0.05599999
0.526,355.585,351.0496,0.5338096,0.05600002
0.537,355.584,351.0556,0.54168,0.05599999
0.548,355.58,351.0659,0.5408484,0.05599996
0.559,355.5869,351.0587,0.5432888,0.05500001
0.571,355.5835,351.0648,0.5429888,0.05599999
0.581,355.5832,351.068,0.5407214,0.05499995
0.593,355.5831,351.0521,0.5390968,0.05599999
0.604,355.58,351.0563,0.5428261,0.05599999
0.615,355.5876,351.0514,0.5385819,0.05599999
0.626,355.5948,351.0433,0.5465739,0.05500001
0.637,355.5796,351.0552,0.5310932,0.05600005
0.648,355.5927,351.0541,0.5511512,0.05500001
0.659,355.5957,351.061,0.5440593,0.05500001
0.67,355.5902,351.0458,0.5439063,0.05500001
0.681,355.5963,351.0629,0.5411863,0.05500001
0.692,355.5962,351.0564,0.5419664,0.05499995
0.703,355.6012,351.0573,0.5472438,0.05500001
0.715,355.5861,351.0492,0.5467839,0.05599999
0.726,355.5925,351.0686,0.5488951,0.05599999
0.737,355.5942,351.0593,0.5467189,0.05599999
0.748,355.598,351.0545,0.5411894,0.05600005
0.759,355.5927,351.0576,0.5441265,0.05599999
0.77,355.6027,351.0573,0.5369809,0.05500001
