Timestamp, Premade Voltage, Actual Sent Voltage, Premade Velocity, Actual Velocity
02/07/2020 10:57:50.281, 3.282069, 3.282069,23.17141,21.72285
02/07/2020 10:57:50.293, 3.255701, 3.255701,22.98525,21.00674
02/07/2020 10:57:50.304, 3.227461, 3.227461,22.78587,20.70522
02/07/2020 10:57:50.315, 3.197524, 3.197524,22.57452,20.20521
02/07/2020 10:57:50.326, 3.166209, 3.166209,22.35343,20.07958
02/07/2020 10:57:50.337, 3.133884, 3.133884,22.12522,19.59249
02/07/2020 10:57:50.348, 3.100912, 3.100912,21.89244,19.97941
02/07/2020 10:57:50.359, 3.06773, 3.06773,21.65817,19.43185
02/07/2020 10:57:50.370, 3.034778, 3.034778,21.42553,19.64137
02/07/2020 10:57:50.381, 3.002481, 3.002481,21.19751,19.25193
02/07/2020 10:57:50.392, 2.971255, 2.971255,20.97706,19.12478
02/07/2020 10:57:50.403, 2.941432, 2.941432,20.76651,18.83286
02/07/2020 10:57:50.415, 2.913325, 2.913325,20.56808,18.6979
02/07/2020 10:57:50.426, 2.887196, 2.887196,20.3836,18.10595
02/07/2020 10:57:50.437, 2.863131, 2.863131,20.2137,18.07005
02/07/2020 10:57:50.449, 2.841218, 2.841218,20.059,17.46514
02/07/2020 10:57:50.459, 2.821489, 2.821489,19.91971,17.60218
02/07/2020 10:57:50.471, 2.803745, 2.803745,19.79444,17.68507
02/07/2020 10:57:50.482, 2.787815, 2.787815,19.68198,17.47021
02/07/2020 10:57:50.493, 2.773422, 2.773422,19.58036,17.25696
02/07/2020 10:57:50.504, 2.760104, 2.760104,19.48634,17.54438
02/07/2020 10:57:50.515, 2.747398, 2.747398,19.39663,17.21398
02/07/2020 10:57:50.526, 2.734743, 2.734743,19.30729,16.83792
02/07/2020 10:57:50.537, 2.721504, 2.721504,19.21382,17.09876
02/07/2020 10:57:50.548, 2.707023, 2.707023,19.11159,17.03202
02/07/2020 10:57:50.559, 2.690479, 2.690479,18.99478,16.85855
02/07/2020 10:57:50.570, 2.671201, 2.671201,18.85868,16.70115
02/07/2020 10:57:50.581, 2.648467, 2.648467,18.69818,16.72112
02/07/2020 10:57:50.592, 2.621352, 2.621352,18.50674,16.21265
02/07/2020 10:57:50.603, 2.589246, 2.589246,18.28008,15.89857
02/07/2020 10:57:50.615, 2.551528, 2.551528,18.01379,15.83474
02/07/2020 10:57:50.626, 2.50736, 2.50736,17.70196,15.71993
02/07/2020 10:57:50.637, 2.4564, 2.4564,17.34218,15.69512
02/07/2020 10:57:50.649, 2.398325, 2.398325,16.93217,15.49121
02/07/2020 10:57:50.660, 2.332676, 2.332676,16.46869,15.54813
02/07/2020 10:57:50.671, 2.259502, 2.259502,15.95209,15.05075
02/07/2020 10:57:50.682, 2.178951, 2.178951,15.38339,14.98721
02/07/2020 10:57:50.692, 2.091053, 2.091053,14.76283,14.39784
02/07/2020 10:57:50.703, 1.996354, 1.996354,14.09426,14.47198
02/07/2020 10:57:50.715, 1.89554, 1.89554,13.38251,14.2867
02/07/2020 10:57:50.726, 1.789217, 1.789217,12.63187,14.026
02/07/2020 10:57:50.737, 1.678367, 1.678367,11.84927,13.16351
02/07/2020 10:57:50.748, 1.564144, 1.564144,11.04286,12.70057
02/07/2020 10:57:50.759, 1.447608, 1.447608,10.22011,11.53299
02/07/2020 10:57:50.770, 1.330026, 1.330026,9.389983,10.77376
02/07/2020 10:57:50.782, 1.212667, 1.212667,8.561427,9.557735
02/07/2020 10:57:50.792, 1.096804, 1.096804,7.743434,9.438388
02/07/2020 10:57:50.804, 0.9837139, 0.9837139,6.94502,8.226891
02/07/2020 10:57:50.815, 0.8744572, 0.8744572,6.173668,7.875308
02/07/2020 10:57:50.826, 0.7701317, 0.7701317,5.43713,7.038879
02/07/2020 10:57:50.837, 0.6717969, 0.6717969,4.742886,6.47422
02/07/2020 10:57:50.848, 0.5799973, 0.5799973,4.094781,5.393602
02/07/2020 10:57:50.859, 0.4953703, 0.4953703,3.497314,5.180739
02/07/2020 10:57:50.870, 0.4185132, 0.4185132,2.954703,4.33729
02/07/2020 10:57:50.882, 0.3493584, 0.3493584,2.46647,3.715321
02/07/2020 10:57:50.892, 0.2879533, 0.2879533,2.03295,3.291851
02/07/2020 10:57:50.904, 0.2344059, 0.2344059,1.654906,2.914004
02/07/2020 10:57:50.915, 0.1881313, 0.1881313,1.328207,2.192676
02/07/2020 10:57:50.925, 0.1487402, 0.1487402,1.050106,1.946458
02/07/2020 10:57:50.937, 0.1159528, 0.1159528,0.818627,1.506914
02/07/2020 10:57:50.948, 0.08886898, 0.08886898,0.627415,1.226846
02/07/2020 10:57:50.959, 0.06686813, 0.06686813,0.472089,0.4921791
02/07/2020 10:57:50.970, 0.04948669, 0.04948669,0.349376,0.560218
02/07/2020 10:57:50.981, 0.03586771, 0.03586771,0.253226,-0.02726499
02/07/2020 10:57:50.993, 0.02540807, 0.02540807,0.179381,-0.1176421
02/07/2020 10:57:51.003, 0.01764363, 0.01764363,0.124564,-0.3599796
02/07/2020 10:57:51.014, 0.01194901, 0.01194901,0.08436,-0.1171463
02/07/2020 10:57:51.025, 0.007864589, 0.007864589,0.055524,-0.4122278
02/07/2020 10:57:51.037, 0.005046742, 0.005046742,0.03563,-0.1065518
02/07/2020 10:57:51.048, 0.003147309, 0.003147309,0.02222,-0.06013369
02/07/2020 10:57:51.060, 0.001897592, 0.001897592,0.013397,0.06219656
02/07/2020 10:57:51.071, 0.001105949, 0.001105949,0.007808,0.2341281
02/07/2020 10:57:51.081, 0.000614306, 0.000614306,0.004337,0.2634026
02/07/2020 10:57:51.092, 0.0003171388, 0.0003171388,0.002239,-0.1873111
02/07/2020 10:57:51.104, 0.0001471671, 0.0001471671,0.001039,-0.05522773
02/07/2020 10:57:51.115, 5.467422E-05, 5.467422E-05,0.000386,-0.323842
02/07/2020 10:57:51.126, 1.048159E-05, 1.048159E-05,7.4E-05,-0.1699407
02/07/2020 10:57:51.137, 0, 0,0,-0.3485835
02/07/2020 10:57:51.148, 0, 0,0,0.2616544
02/07/2020 10:57:51.159, 0, 0,0,-0.3279263
02/07/2020 10:57:51.170, 0, 0,0,-0.0602372
02/07/2020 10:57:51.181, 0, 0,0,-0.4276636
02/07/2020 10:57:51.192, 0, 0,0,-0.1828633
02/07/2020 10:57:51.204, 0, 0,0,-0.2626681
02/07/2020 10:57:51.215, 0, 0,0,-0.1412794
02/07/2020 10:57:51.226, 0, 0,0,-0.03110722
02/07/2020 10:57:51.237, 0, 0,0,-0.1262081
02/07/2020 10:57:51.248, 0, 0,0,-0.1599101
02/07/2020 10:57:51.259, 0, 0,0,-0.1172329
02/07/2020 10:57:51.270, 0, 0,0,0.284612
02/07/2020 10:57:51.281, 0, 0,0,0.2311118
02/07/2020 10:57:51.292, 0, 0,0,0.3566406
02/07/2020 10:57:51.304, 0, 0,0,0.4024523
02/07/2020 10:57:51.315, 0, 0,0,0.2050909
02/07/2020 10:57:51.325, 0, 0,0,0.1585358
02/07/2020 10:57:51.337, 0, 0,0,0.0773842
02/07/2020 10:57:51.348, 0.0008535411, 0.0008535411,0.006026,-0.05354178
02/07/2020 10:57:51.359, 0.002201416, 0.002201416,0.015542,-0.1342431
02/07/2020 10:57:51.370, 0.004688243, 0.004688243,0.033099,-0.1693801
02/07/2020 10:57:51.381, 0.008606657, 0.008606657,0.060763,-0.1877709
02/07/2020 10:57:51.393, 0.0136238, 0.0136238,0.096184,-0.1593335
02/07/2020 10:57:51.403, 0.01686388, 0.01686388,0.119059,-0.2336856
02/07/2020 10:57:51.414, 0.01629901, 0.01629901,0.115071,-0.0513074
02/07/2020 10:57:51.426, 0.005815156, 0.005815156,0.041055,-0.1150135
02/07/2020 10:57:51.437, -0.01927281, -0.01927281,-0.136066,0.02906115
02/07/2020 10:57:51.448, -0.06152748, -0.06152748,-0.434384,0.0006415591
