Timestamp, Premade Voltage, Actual Sent Voltage, Premade Velocity, Actual Velocity
02/07/2020 10:45:23.375, -0.0002990085, -0.0002990085,-0.002111,-0.1329695
02/07/2020 10:45:23.379, -0.0006730878, -0.0006730878,-0.004752,-0.0001889634
02/07/2020 10:45:23.389, -0.001224788, -0.001224788,-0.008647,-0.001990277
02/07/2020 10:45:23.394, -0.001750991, -0.001750991,-0.012362,0.006160826
02/07/2020 10:45:23.406, -0.00157238, -0.00157238,-0.011101,-0.007450302
02/07/2020 10:45:23.417, 0.0001106232, 0.0001106232,0.000781,0.009599423
02/07/2020 10:45:23.428, 0.005411048, 0.005411048,0.038202,-0.1788332
02/07/2020 10:45:23.439, 0.01636855, 0.01636855,0.115562,0.1495363
02/07/2020 10:45:23.450, 0.03464221, 0.03464221,0.244574,-0.1280649
02/07/2020 10:45:23.461, 0.06134759, 0.06134759,0.433114,0.1002721
02/07/2020 10:45:23.472, 0.09621813, 0.09621813,0.6793,-0.1002721
02/07/2020 10:45:23.484, 0.1380552, 0.1380552,0.9746699,-0.02274944
02/07/2020 10:45:23.495, 0.1856035, 0.1856035,1.310361,-0.2337865
02/07/2020 10:45:23.506, 0.2376564, 0.2376564,1.677854,0.04494401
02/07/2020 10:45:23.517, 0.2937195, 0.2937195,2.07366,0.28631
02/07/2020 10:45:23.528, 0.35405, 0.35405,2.499593,0.5559765
02/07/2020 10:45:23.539, 0.4190863, 0.4190863,2.958749,0.9449341
02/07/2020 10:45:23.550, 0.4895514, 0.4895514,3.456233,1.139137
02/07/2020 10:45:23.562, 0.564701, 0.564701,3.986789,1.753126
02/07/2020 10:45:23.573, 0.6453864, 0.6453864,4.556428,2.099174
02/07/2020 10:45:23.584, 0.7311898, 0.7311898,5.1622,2.372742
02/07/2020 10:45:23.595, 0.8218287, 0.8218287,5.80211,2.828326
02/07/2020 10:45:23.606, 0.9168755, 0.9168755,6.473141,3.514441
02/07/2020 10:45:23.617, 1.015701, 1.015701,7.170849,3.963413
02/07/2020 10:45:23.628, 1.117796, 1.117796,7.891637,4.220853
02/07/2020 10:45:23.639, 1.222578, 1.222578,8.631403,5.136912
02/07/2020 10:45:23.650, 1.329338, 1.329338,9.385128,5.987567
02/07/2020 10:45:23.661, 1.437474, 1.437474,10.14857,6.45138
02/07/2020 10:45:23.672, 1.546354, 1.546354,10.91726,7.046192
02/07/2020 10:45:23.683, 1.655342, 1.655342,11.68671,7.870785
02/07/2020 10:45:23.695, 1.763876, 1.763876,12.45296,8.191826
02/07/2020 10:45:23.706, 1.871379, 1.871379,13.21194,8.773222
02/07/2020 10:45:23.717, 1.977397, 1.977397,13.96042,9.535695
02/07/2020 10:45:23.728, 2.081501, 2.081501,14.6954,10.25722
02/07/2020 10:45:23.739, 2.183209, 2.183209,15.41346,11.02388
02/07/2020 10:45:23.750, 2.282278, 2.282278,16.11288,11.79445
