Voltage Input (Ideal), Timestamp, Velocity Output, Control Input, Error
0, 07/18/2019 02:20:32.858, 0, -2.192635E-05, -0.0001066572
0, 07/18/2019 02:20:32.985, 0, 7.385421E-06, 0
0, 07/18/2019 02:20:32.989, 0, -3.365628E-06, 0
0, 07/18/2019 02:20:32.991, 0, -3.365628E-06, 0
0, 07/18/2019 02:20:32.999, 0, -3.365628E-06, 0
0, 07/18/2019 02:20:33.010, 0, -3.365628E-06, 0
0, 07/18/2019 02:20:33.022, 33.04928, -3.365628E-06, 0
0, 07/18/2019 02:20:33.042, 7.394886, -6.794201, -33.04928
0, 07/18/2019 02:20:33.064, 9.783039, 1.289696, -7.394886
0, 07/18/2019 02:20:33.085, 11.40415, -1.903893, -9.783039
0, 07/18/2019 02:20:33.116, 11.31174, -2.150787, -11.40415
0, 07/18/2019 02:20:33.132, 10.33373, -2.148313, -11.31174
0, 07/18/2019 02:20:33.145, 8.402653, -2.135045, -10.33373
0, 07/18/2019 02:20:33.161, 6.113205, -1.999685, -8.402653
0, 07/18/2019 02:20:33.174, 3.187466, -1.856253, -6.113205
0, 07/18/2019 02:20:33.192, -0.4888916, -1.582016, -3.187466
0, 07/18/2019 02:20:33.206, -5.059433, -1.171444, 0.4888916
0, 07/18/2019 02:20:33.226, -7.854939, -0.5947053, 5.059433
0, 07/18/2019 02:20:33.241, -10.59883, -0.4008956, 7.854939
0, 07/18/2019 02:20:33.253, -13.21707, 0.005334317, 10.59883
0, 07/18/2019 02:20:33.268, -16.45386, 0.4342272, 13.21707
0, 07/18/2019 02:20:33.284, -17.89547, 1.044257, 16.45386
0, 07/18/2019 02:20:33.299, -19.71514, 1.273957, 17.89547
0, 07/18/2019 02:20:33.313, -20.12718, 1.785077, 19.71514
0, 07/18/2019 02:20:33.329, -21.29482, 1.997423, 20.12718
0, 07/18/2019 02:20:33.344, -21.00248, 2.513492, 21.29482
0, 07/18/2019 02:20:33.356, -19.07352, 2.67168, 21.00248
0, 07/18/2019 02:20:33.371, -18.06816, 2.635969, 19.07352
0, 07/18/2019 02:20:33.386, -14.74131, 2.924666, 18.06816
0, 07/18/2019 02:20:33.399, -11.83622, 2.627154, 14.74131
0, 07/18/2019 02:20:33.413, -8.340569, 2.597866, 11.83622
0, 07/18/2019 02:20:33.426, -5.196419, 2.358819, 8.340569
0, 07/18/2019 02:20:33.441, -2.500248, 2.196409, 5.196419
0, 07/18/2019 02:20:33.454, 1.086559, 2.041054, 2.500248
0, 07/18/2019 02:20:33.468, 3.793144, 1.614909, -1.086559
0, 07/18/2019 02:20:33.480, 6.047859, 1.402902, -3.793144
0, 07/18/2019 02:20:33.495, 10.32475, 1.152359, -6.047859
0, 07/18/2019 02:20:33.508, 12.01, 0.4049794, -10.32475
0, 07/18/2019 02:20:33.521, 14.39272, 0.3267366, -12.01
0, 07/18/2019 02:20:33.534, 15.71692, -0.1827143, -14.39272
0, 07/18/2019 02:20:33.547, 17.2086, -0.4418468, -15.71692
0, 07/18/2019 02:20:33.561, 18.71412, -0.8630021, -17.2086
0, 07/18/2019 02:20:33.574, 17.32767, -1.293657, -18.71412
0, 07/18/2019 02:20:33.588, 18.58395, -1.152144, -17.32767
0, 07/18/2019 02:20:33.600, 17.95206, -1.823552, -18.58395
0, 07/18/2019 02:20:33.614, 16.81366, -1.860232, -17.95206
0, 07/18/2019 02:20:33.628, 16.2652, -1.973139, -16.81366
0, 07/18/2019 02:20:33.641, 14.61147, -2.240422, -16.2652
0, 07/18/2019 02:20:33.659, 14.19914, -2.212365, -14.61147
0, 07/18/2019 02:20:33.667, 11.96108, -2.524831, -14.19914
0, 07/18/2019 02:20:33.682, 10.56913, -2.330329, -11.96108
0, 07/18/2019 02:20:33.694, 10.34288, -2.458492, -10.56913
0, 07/18/2019 02:20:33.708, 8.190479, -2.719046, -10.34288
0, 07/18/2019 02:20:33.721, 6.904793, -2.462553, -8.190479
0, 07/18/2019 02:20:33.736, 6.106853, -2.544434, -6.904793
0, 07/18/2019 02:20:33.750, 5.30817, -2.618935, -6.106853
0, 07/18/2019 02:20:33.765, 4.340401, -2.631528, -5.30817
0, 07/18/2019 02:20:33.781, 3.64666, -2.596835, -4.340401
0, 07/18/2019 02:20:33.794, 4.06105, -2.62025, -3.64666
