Voltage Input (Ideal), Timestamp, Velocity Output, Control Input, Error
3.501006, 07/18/2019 12:27:44.085, 27.43544, -73.61945, -22.90275
3.492547, 07/18/2019 12:27:44.099, 29.1758, -75.77328, -23.94289
3.483622, 07/18/2019 12:27:44.112, 27.6408, -78.25224, -25.69217
3.474359, 07/18/2019 12:27:44.128, 26.61879, -79.74365, -24.16644
3.464814, 07/18/2019 12:27:44.141, 27.55251, -81.29165, -23.15397
3.455009, 07/18/2019 12:27:44.155, 27.19963, -83.43199, -24.0975
3.444878, 07/18/2019 12:27:44.170, 27.20083, -85.2046, -23.75475
3.434269, 07/18/2019 12:27:44.184, 26.31929, -87.07208, -23.76656
3.423017, 07/18/2019 12:27:44.200, 27.52419, -88.63754, -22.89628
3.410907, 07/18/2019 12:27:44.231, 31.60858, -90.8516, -24.11328
3.397647, 07/18/2019 12:27:44.242, 30.80458, -94.15047, -28.21094
3.383007, 07/18/2019 12:27:44.252, 30.18814, -96.09235, -27.42157
3.366761, 07/18/2019 12:27:44.264, 29.22792, -98.03729, -26.82138
3.34865, 07/18/2019 12:27:44.279, 29.65651, -99.81772, -25.87927
3.328551, 07/18/2019 12:27:44.293, 28.32544, -102.0019, -26.32796
3.306388, 07/18/2019 12:27:44.307, 25.03103, -103.6177, -25.01905
3.282069, 07/18/2019 12:27:44.321, 24.62877, -104.4572, -21.74896
3.255701, 07/18/2019 12:27:44.336, 25.21231, -106.0342, -21.37307
3.227461, 07/18/2019 12:27:44.352, 26.50743, -107.9209, -21.98485
3.197524, 07/18/2019 12:27:44.367, 26.26705, -110.1005, -23.30991
3.166209, 07/18/2019 12:27:44.384, 27.43114, -111.8573, -23.10084
3.133884, 07/18/2019 12:27:44.398, 25.68529, -114.0803, -24.29726
3.100912, 07/18/2019 12:27:44.412, 26.67521, -115.398, -22.58438
3.06773, 07/18/2019 12:27:44.427, 25.84803, -117.521, -23.60748
3.034778, 07/18/2019 12:27:44.441, 26.47505, -119.1001, -22.81325
3.002481, 07/18/2019 12:27:44.456, 26.12869, -121.1161, -23.47257
2.971255, 07/18/2019 12:27:44.471, 24.94131, -122.8492, -23.15744
2.941432, 07/18/2019 12:27:44.485, 26.26631, -124.2682, -21.99988
2.913325, 07/18/2019 12:27:44.499, 24.43108, -126.4587, -23.35298
2.887196, 07/18/2019 12:27:44.514, 25.17277, -127.6693, -21.54388
2.863131, 07/18/2019 12:27:44.528, 23.96519, -129.6223, -22.30964
2.841218, 07/18/2019 12:27:44.541, 22.56145, -130.9651, -21.12397
2.821489, 07/18/2019 12:27:44.557, 23.62221, -132.1469, -19.73997
2.803745, 07/18/2019 12:27:44.571, 21.84179, -134.0658, -20.81846
2.787815, 07/18/2019 12:27:44.585, 23.3412, -135.0928, -19.05398
2.773422, 07/18/2019 12:27:44.599, 21.98359, -137.1074, -20.56778
2.760104, 07/18/2019 12:27:44.615, 22.54269, -138.2592, -19.22348
2.747398, 07/18/2019 12:27:44.629, 22.73695, -139.9635, -19.79529
2.734743, 07/18/2019 12:27:44.646, 22.27266, -141.5874, -20.00221
2.721504, 07/18/2019 12:27:44.661, 22.04796, -143.0016, -19.55116
2.707023, 07/18/2019 12:27:44.674, 21.56181, -144.463, -19.34093
2.690479, 07/18/2019 12:27:44.690, 22.64608, -145.819, -18.87133
2.671201, 07/18/2019 12:27:44.704, 22.00401, -147.6783, -19.97488
2.648467, 07/18/2019 12:27:44.718, 22.3815, -149.0325, -19.35555
2.621352, 07/18/2019 12:27:44.733, 21.38775, -150.6898, -19.76015
2.589246, 07/18/2019 12:27:44.748, 22.71893, -151.9096, -18.7985
2.551528, 07/18/2019 12:27:44.762, 22.19736, -153.8544, -20.1674
2.50736, 07/18/2019 12:27:44.778, 20.583, -155.2724, -19.69
2.4564, 07/18/2019 12:27:44.793, 20.63982, -156.2801, -18.1266
2.398325, 07/18/2019 12:27:44.809, 20.917, -157.7415, -18.2415
2.332676, 07/18/2019 12:27:44.822, 21.16213, -159.2901, -18.58432
2.259502, 07/18/2019 12:27:44.837, 20.58546, -160.8573, -18.90263
2.178951, 07/18/2019 12:27:44.852, 20.89731, -162.1697, -18.40651
2.091053, 07/18/2019 12:27:44.866, 21.14307, -163.7509, -18.80626
1.996354, 07/18/2019 12:27:44.881, 19.81773, -165.3431, -19.14672
1.89554, 07/18/2019 12:27:44.895, 19.42944, -166.4245, -17.92219
1.789217, 07/18/2019 12:27:44.908, 18.1101, -167.7335, -17.64022
1.678367, 07/18/2019 12:27:44.924, 17.73874, -168.7022, -16.43174
1.564144, 07/18/2019 12:27:44.938, 16.12644, -169.9029, -16.1746
1.447608, 07/18/2019 12:27:44.952, 16.18652, -170.658, -14.67883
1.330026, 07/18/2019 12:27:44.966, 16.08524, -171.8705, -14.8565
1.212667, 07/18/2019 12:27:44.981, 14.07703, -173.0414, -14.87258
1.096804, 07/18/2019 12:27:44.995, 14.63551, -173.5582, -12.98023
0.9837139, 07/18/2019 12:27:45.008, 12.89818, -174.8071, -13.65179
0.8744572, 07/18/2019 12:27:45.024, 12.83066, -175.3188, -12.02372
0.7701317, 07/18/2019 12:27:45.039, 11.02764, -176.2746, -12.06053
0.6717969, 07/18/2019 12:27:45.053, 10.26443, -176.6353, -10.35584
0.5799973, 07/18/2019 12:27:45.067, 10.09815, -177.217, -9.684438
0.4953703, 07/18/2019 12:27:45.082, 8.550911, -177.9487, -9.602782
0.4185132, 07/18/2019 12:27:45.096, 8.161926, -178.197, -8.132398
0.3493584, 07/18/2019 12:27:45.110, 7.078056, -178.7251, -7.812568
0.2879533, 07/18/2019 12:27:45.125, 6.400795, -178.9867, -6.790103
0.2344059, 07/18/2019 12:27:45.139, 5.577393, -179.3052, -6.166389
0.1881313, 07/18/2019 12:27:45.154, 4.708214, -179.522, -5.389261
