Voltage Input (Ideal), Timestamp, Velocity Output, Control Input, Error
24.65738, 07/18/2019 02:07:23.529, 23.91174, 2.82473, 0.009267807
24.59437, 07/18/2019 02:07:23.544, 23.20553, 3.074523, 0.6826286
24.52898, 07/18/2019 02:07:23.558, 23.53586, 3.149157, 1.323448
24.46159, 07/18/2019 02:07:23.572, 24.65263, 3.023681, 0.9257278
24.39236, 07/18/2019 02:07:23.588, 23.06723, 2.834562, -0.2602692
24.32084, 07/18/2019 02:07:23.601, 22.11073, 3.261224, 1.253609
24.24594, 07/18/2019 02:07:23.616, 23.06517, 3.309642, 2.135212
24.1665, 07/18/2019 02:07:23.630, 22.66628, 3.041923, 1.10133
24.081, 07/18/2019 02:07:23.644, 23.40986, 3.22794, 1.414717
23.98738, 07/18/2019 02:07:23.657, 22.94838, 3.046563, 0.5775223
23.88403, 07/18/2019 02:07:23.674, 24.50357, 3.213688, 0.9356518
23.76933, 07/18/2019 02:07:23.688, 24.4986, 2.849058, -0.7342396
23.64147, 07/18/2019 02:07:23.702, 24.97536, 2.980536, -0.8571243
23.49957, 07/18/2019 02:07:23.718, 26.05373, 2.852216, -1.475788
23.3431, 07/18/2019 02:07:23.730, 24.6369, 2.637436, -2.710632
23.17141, 07/18/2019 02:07:23.745, 24.63741, 2.975114, -1.465492
22.98525, 07/18/2019 02:07:23.758, 23.05052, 2.788105, -1.652166
22.78587, 07/18/2019 02:07:23.775, 23.95117, 3.066098, -0.2646446
22.57452, 07/18/2019 02:07:23.789, 23.2251, 2.693457, -1.37665
22.35343, 07/18/2019 02:07:23.803, 21.30644, 2.887641, -0.871664
22.12522, 07/18/2019 02:07:23.818, 21.46454, 3.170504, 0.8187828
21.89244, 07/18/2019 02:07:23.834, 22.05374, 2.932669, 0.4279022
21.65817, 07/18/2019 02:07:23.847, 22.19072, 2.809534, -0.395565
21.42553, 07/18/2019 02:07:23.861, 21.78434, 2.810311, -0.7651939
21.19751, 07/18/2019 02:07:23.876, 20.9166, 2.872164, -0.586832
20.97706, 07/18/2019 02:07:23.892, 23.47532, 2.977996, 0.06046295
20.76651, 07/18/2019 02:07:23.906, 23.92708, 2.344401, -2.708811
20.56808, 07/18/2019 02:07:23.919, 22.79057, 2.44714, -3.359001
20.3836, 07/18/2019 02:07:23.935, 23.71136, 2.655399, -2.406965
20.2137, 07/18/2019 02:07:23.949, 23.21457, 2.297236, -3.497656
20.059, 07/18/2019 02:07:23.962, 22.89087, 2.422318, -3.155567
19.91971, 07/18/2019 02:07:23.977, 21.19864, 2.375958, -2.971159
19.79444, 07/18/2019 02:07:23.991, 20.06544, 2.632624, -1.404196
19.68198, 07/18/2019 02:07:24.007, 20.66065, 2.662359, -0.3834648
19.58036, 07/18/2019 02:07:24.021, 19.37548, 2.410167, -1.080292
19.48634, 07/18/2019 02:07:24.034, 19.49169, 2.708236, 0.1108589
19.39663, 07/18/2019 02:07:24.051, 19.44134, 2.547585, -0.09506226
19.30729, 07/18/2019 02:07:24.065, 18.93042, 2.558826, -0.1340504
19.21382, 07/18/2019 02:07:24.079, 18.90381, 2.646461, 0.2834034
19.11159, 07/18/2019 02:07:24.093, 19.01917, 2.593306, 0.207777
18.99478, 07/18/2019 02:07:24.107, 20.12661, 2.55648, -0.02438354
18.85868, 07/18/2019 02:07:24.123, 20.33352, 2.323852, -1.267929
18.69818, 07/18/2019 02:07:24.140, 21.10136, 2.353665, -1.63534
18.50674, 07/18/2019 02:07:24.153, 20.77721, 2.167691, -2.594618
18.28008, 07/18/2019 02:07:24.168, 20.46696, 2.24349, -2.497131
18.01379, 07/18/2019 02:07:24.183, 20.25032, 2.203302, -2.453167
17.70196, 07/18/2019 02:07:24.198, 19.36895, 2.140596, -2.548359
17.34218, 07/18/2019 02:07:24.212, 19.09201, 2.217211, -2.026772
16.93217, 07/18/2019 02:07:24.227, 17.60714, 2.105302, -2.159834
16.46869, 07/18/2019 02:07:24.244, 18.23971, 2.294612, -1.138445
15.95209, 07/18/2019 02:07:24.260, 18.51843, 1.937449, -2.287621
15.38339, 07/18/2019 02:07:24.275, 18.3363, 1.842982, -3.135038
14.76283, 07/18/2019 02:07:24.289, 18.65633, 1.788808, -3.573463
14.09426, 07/18/2019 02:07:24.306, 18.41892, 1.573384, -4.56207
13.38251, 07/18/2019 02:07:24.321, 17.95727, 1.503542, -5.03641
12.63187, 07/18/2019 02:07:24.338, 17.24722, 1.412483, -5.325398
11.84927, 07/18/2019 02:07:24.353, 17.17112, 1.342675, -5.39795
11.04286, 07/18/2019 02:07:24.369, 16.68589, 1.114686, -6.128258
10.22011, 07/18/2019 02:07:24.384, 14.8019, 1.022224, -6.465774
9.389983, 07/18/2019 02:07:24.398, 13.70041, 1.170879, -5.41192
8.561427, 07/18/2019 02:07:24.413, 13.18394, 1.035373, -5.138982
7.743434, 07/18/2019 02:07:24.429, 12.3274, 0.864793, -5.440503
6.94502, 07/18/2019 02:07:24.445, 11.10569, 0.8212951, -5.382384
6.173668, 07/18/2019 02:07:24.458, 9.300671, 0.8230991, -4.932022
5.43713, 07/18/2019 02:07:24.474, 9.49316, 0.9195423, -3.863541
4.742886, 07/18/2019 02:07:24.487, 8.475952, 0.5685886, -4.750274
4.094781, 07/18/2019 02:07:24.503, 8.341312, 0.6589019, -4.381171
3.497314, 07/18/2019 02:07:24.517, 7.192612, 0.4574242, -4.843998
2.954703, 07/18/2019 02:07:24.531, 6.739655, 0.5522484, -4.237908
2.46647, 07/18/2019 02:07:24.547, 6.372356, 0.4170376, -4.273185
2.03295, 07/18/2019 02:07:24.564, 5.715351, 0.3395584, -4.339406
1.654906, 07/18/2019 02:07:24.577, 5.418091, 0.3351157, -4.060445
1.328207, 07/18/2019 02:07:24.594, 5.043125, 0.2368796, -4.089884
1.050106, 07/18/2019 02:07:24.610, 4.792328, 0.195231, -3.993019
0.818627, 07/18/2019 02:07:24.626, 4.108658, 0.1264374, -3.973701
0.627415, 07/18/2019 02:07:24.663, 4.326382, 0.1630324, -3.481243
0.472089, 07/18/2019 02:07:24.670, 3.210239, -0.01822437, -3.854293
0.349376, 07/18/2019 02:07:24.679, 2.812157, 0.1627938, -2.860863
0.253226, 07/18/2019 02:07:24.696, 2.215347, 0.07958878, -2.558931
0.179381, 07/18/2019 02:07:24.712, 1.758614, 0.1162895, -2.035966
0.124564, 07/18/2019 02:07:24.731, 1.699276, 0.1140769, -1.63405
0.08436, 07/18/2019 02:07:24.744, 0.7303619, 0.05171544, -1.614916
0.055524, 07/18/2019 02:07:24.756, 1.194191, 0.2175661, -0.6748379
0.03563, 07/18/2019 02:07:24.774, 0.9555817, 0.01271613, -1.158561
0.02222, 07/18/2019 02:07:24.787, 0.9023094, 0.08949187, -0.9333616
0.013397, 07/18/2019 02:07:24.800, 0.925827, 0.06120317, -0.8889124
0.007808, 07/18/2019 02:07:24.813, 0.6887627, 0.03671397, -0.918019
0.004337, 07/18/2019 02:07:24.829, 0.9125519, 0.07318521, -0.6844257
0.002239, 07/18/2019 02:07:24.843, 0.6840706, -0.007597107, -0.9103129
0.001039, 07/18/2019 02:07:24.856, 0.6126595, 0.0475336, -0.6830316
