World Time ,Experiment Time ,Trial# , SteamVR X ,SteamVR Y ,SteamVR Z , SteamVR Velocity, OptiTrack Rigidbody X,OptiTrack Rigidbody Y,OptiTrack Rigidbody Z, OptiTrack Rigidbody Velocity
8/7/2020 2:40:52 PM,2452.136,1,1.145E-13,5.122642E-06,-2.561321E-06,0,291.8053,221.8587,163.2495,0.3508403
8/7/2020 2:40:52 PM,2452.141,1,1.145E-13,5.122642E-06,-2.561321E-06,0,291.8125,221.8598,163.2499,-0.0671729
8/7/2020 2:40:52 PM,2452.147,1,5.724997E-14,3.841981E-06,-1.707547E-06,-4.768714E-05,291.803,221.8621,163.2448,0.5244318
8/7/2020 2:40:52 PM,2452.153,1,5.724997E-14,3.841981E-06,-1.707547E-06,-4.561378E-05,291.8067,221.8597,163.2491,0.3733696
8/7/2020 2:40:52 PM,2452.159,1,5.724997E-14,3.841981E-06,-1.707547E-06,-4.408055E-05,291.8073,221.8642,163.2457,0.6018907
8/7/2020 2:40:52 PM,2452.165,1,1.653888E-13,5.549529E-06,-3.415095E-06,1.469353E-05,291.809,221.8569,163.2518,-0.0625
8/7/2020 2:40:52 PM,2452.171,1,1.653888E-13,5.549529E-06,-3.415095E-06,1.433221E-05,291.803,221.8574,163.252,-0.07991803
8/7/2020 2:40:52 PM,2452.178,1,1.653888E-13,5.549529E-06,-3.415095E-06,5.507177E-05,291.8037,221.8519,163.2565,-0.3287401
8/7/2020 2:40:52 PM,2452.183,1,1.653888E-13,5.549529E-06,-3.415095E-06,5.686273E-05,291.7986,221.8605,163.2502,0.02693089
8/7/2020 2:40:52 PM,2452.189,1,1.908333E-13,5.122642E-06,-4.268868E-06,4.264705E-05,291.8051,221.8591,163.2497,-0.1686992
8/7/2020 2:40:52 PM,2452.195,1,1.908333E-13,5.122642E-06,-4.268868E-06,-1.421568E-05,291.8164,221.8498,163.2597,-0.2357724
8/7/2020 2:40:52 PM,2452.201,1,1.908333E-13,5.122642E-06,-4.268868E-06,-1.421568E-05,291.8087,221.8449,163.266,-0.4161585
8/7/2020 2:40:52 PM,2452.207,1,1.749305E-13,4.695755E-06,-4.268868E-06,-2.938705E-05,291.8032,221.8574,163.2508,0.1880252
8/7/2020 2:40:52 PM,2452.218,1,1.749305E-13,4.695755E-06,-4.268868E-06,-2.445496E-05,291.8045,221.8581,163.2477,-0.06818182
8/7/2020 2:40:52 PM,2452.23,1,1.113194E-13,2.988208E-06,-4.268868E-06,-5.203954E-05,291.8028,221.8638,163.2453,0.1142113
8/7/2020 2:40:52 PM,2452.238,1,1.113194E-13,2.988208E-06,-4.268868E-06,-4.96741E-05,291.8058,221.8619,163.2469,0.28125
8/7/2020 2:40:52 PM,2452.244,1,1.113194E-13,2.988208E-06,-4.268868E-06,-4.96741E-05,291.8067,221.8651,163.2453,0.4691051
8/7/2020 2:40:52 PM,2452.25,1,7.633331E-14,2.561321E-06,-3.415095E-06,-4.967409E-05,291.799,221.8602,163.2484,0.06605113
8/7/2020 2:40:52 PM,2452.255,1,7.633331E-14,2.561321E-06,-3.415095E-06,-5.789828E-05,291.8,221.8668,163.24,0.2359271
8/7/2020 2:40:52 PM,2452.261,1,7.633331E-14,2.561321E-06,-3.415095E-06,-1.376794E-05,291.808,221.872,163.2364,0.265748
8/7/2020 2:40:52 PM,2452.267,1,6.679164E-14,2.988207E-06,-2.561321E-06,-1.565248E-11,291.8048,221.8639,163.2449,0.06932773
8/7/2020 2:40:52 PM,2452.272,1,6.679164E-14,2.988207E-06,-2.561321E-06,-1.619691E-11,291.8071,221.8617,163.2484,-0.1195652
8/7/2020 2:40:52 PM,2452.278,1,6.679164E-14,2.988207E-06,-2.561321E-06,1.520458E-05,291.8091,221.8668,163.2428,0.2358696
8/7/2020 2:40:52 PM,2452.283,1,6.679164E-14,2.988207E-06,-2.561321E-06,1.520458E-05,291.8022,221.8704,163.2371,0.126087
8/7/2020 2:40:52 PM,2452.289,1,2.544444E-14,1.707547E-06,-1.707547E-06,-3.040919E-05,291.8061,221.8659,163.243,-0.2173913
8/7/2020 2:40:52 PM,2452.296,1,2.544444E-14,1.707547E-06,-1.707547E-06,-4.44541E-05,291.8018,221.8635,163.2448,-0.01324153
8/7/2020 2:40:52 PM,2452.307,1,5.088888E-14,3.415095E-06,-1.707547E-06,1.222748E-05,291.8076,221.862,163.2477,0.006993007
8/7/2020 2:40:52 PM,2452.312,1,5.088888E-14,3.415095E-06,-1.707547E-06,1.257935E-05,291.804,221.8657,163.2428,-0.03327338
8/7/2020 2:40:52 PM,2452.319,1,5.088888E-14,3.415095E-06,-1.707547E-06,1.181439E-05,291.8055,221.8667,163.2416,-0.1021959
8/7/2020 2:40:52 PM,2452.324,1,5.088888E-14,3.415095E-06,-1.707547E-06,4.890989E-05,291.8074,221.8566,163.2522,-0.2661713
8/7/2020 2:40:52 PM,2452.33,1,1.240416E-13,5.549528E-06,-2.561321E-06,0.0001124054,291.8055,221.86,163.2484,-0.1022321
8/7/2020 2:40:52 PM,2452.335,1,1.240416E-13,5.549528E-06,-2.561321E-06,7.602294E-05,291.8038,221.859,163.2498,-0.1054348
8/7/2020 2:40:52 PM,2452.341,1,1.240416E-13,5.549528E-06,-2.561321E-06,7.346756E-05,291.8068,221.8645,163.2432,-0.04096639
8/7/2020 2:40:52 PM,2452.346,1,1.653888E-13,5.549528E-06,-3.415094E-06,7.947854E-05,291.806,221.8543,163.2551,-0.4619318
8/7/2020 2:40:52 PM,2452.351,1,1.653888E-13,5.549528E-06,-3.415094E-06,7.876251E-05,291.8103,221.8616,163.2488,0.1824324
8/7/2020 2:40:52 PM,2452.357,1,1.653888E-13,5.549528E-06,-3.415094E-06,0,291.8086,221.8627,163.2455,0.09829546
