Timestamp, Premade Voltage, Actual Sent Voltage, Premade Velocity, Actual Velocity
02/07/2020 10:41:25.522, 3.282069, 3.282069,23.17141,21.20714
02/07/2020 10:41:25.533, 3.255701, 3.255701,22.98525,19.61525
02/07/2020 10:41:25.545, 3.227461, 3.227461,22.78587,19.58253
02/07/2020 10:41:25.556, 3.197524, 3.197524,22.57452,21.00805
02/07/2020 10:41:25.567, 3.166209, 3.166209,22.35343,19.68756
02/07/2020 10:41:25.578, 3.133884, 3.133884,22.12522,20.38552
02/07/2020 10:41:25.589, 3.100912, 3.100912,21.89244,20.43225
02/07/2020 10:41:25.600, 3.06773, 3.06773,21.65817,19.3119
02/07/2020 10:41:25.611, 3.034778, 3.034778,21.42553,19.24206
02/07/2020 10:41:25.622, 3.002481, 3.002481,21.19751,18.81204
02/07/2020 10:41:25.633, 2.971255, 2.971255,20.97706,18.54229
02/07/2020 10:41:25.644, 2.941432, 2.941432,20.76651,18.98164
02/07/2020 10:41:25.656, 2.913325, 2.913325,20.56808,18.18369
02/07/2020 10:41:25.667, 2.887196, 2.887196,20.3836,17.94896
02/07/2020 10:41:25.678, 2.863131, 2.863131,20.2137,18.91063
02/07/2020 10:41:25.689, 2.841218, 2.841218,20.059,19.16339
02/07/2020 10:41:25.700, 2.821489, 2.821489,19.91971,17.32932
02/07/2020 10:41:25.711, 2.803745, 2.803745,19.79444,19.70665
02/07/2020 10:41:25.722, 2.787815, 2.787815,19.68198,18.6879
02/07/2020 10:41:25.733, 2.773422, 2.773422,19.58036,18.51811
02/07/2020 10:41:25.744, 2.760104, 2.760104,19.48634,16.94288
02/07/2020 10:41:25.755, 2.747398, 2.747398,19.39663,17.89331
02/07/2020 10:41:25.766, 2.734743, 2.734743,19.30729,16.64277
02/07/2020 10:41:25.778, 2.721504, 2.721504,19.21382,16.11406
02/07/2020 10:41:25.789, 2.707023, 2.707023,19.11159,16.74818
02/07/2020 10:41:25.800, 2.690479, 2.690479,18.99478,15.31431
02/07/2020 10:41:25.812, 2.671201, 2.671201,18.85868,15.68671
02/07/2020 10:41:25.822, 2.648467, 2.648467,18.69818,16.93101
02/07/2020 10:41:25.833, 2.621352, 2.621352,18.50674,16.11069
02/07/2020 10:41:25.845, 2.589246, 2.589246,18.28008,16.25448
02/07/2020 10:41:25.856, 2.551528, 2.551528,18.01379,17.74653
02/07/2020 10:41:25.867, 2.50736, 2.50736,17.70196,15.92442
02/07/2020 10:41:25.877, 2.4564, 2.4564,17.34218,15.4125
02/07/2020 10:41:25.888, 2.398325, 2.398325,16.93217,16.78941
02/07/2020 10:41:25.900, 2.332676, 2.332676,16.46869,15.32327
02/07/2020 10:41:25.911, 2.259502, 2.259502,15.95209,15.32377
02/07/2020 10:41:25.922, 2.178951, 2.178951,15.38339,15.88275
02/07/2020 10:41:25.933, 2.091053, 2.091053,14.76283,14.83247
02/07/2020 10:41:25.944, 1.996354, 1.996354,14.09426,14.06516
02/07/2020 10:41:25.955, 1.89554, 1.89554,13.38251,15.5998
02/07/2020 10:41:25.966, 1.789217, 1.789217,12.63187,13.77771
